#
# French
#

# Main menu
MENU_CAMPAIGN     Campagne
MENU_SINGLE       Solo
MENU_SPLIT        Écran Partagé
MENU_NETWORK      Multi Joueur
MENU_SETTINGS     Paramètres
MENU_MODS         Modes
MENU_HELP         Aide
MENU_QUIT         Quitter

# New game menu
NEWGAME_TYPE             Type de jeu
NEWGAME_WEAPONS          Armes
NEWGAME_MAP              Monde
NEWGAME_UNIT             Personnages
NEWGAME_VIEW             Vue
NEWGAME_HOST             Hôte de jeu en réseau
NEWGAME_START_SINGLE     Commencé la partie
NEWGAME_START_SPLIT      Commencé la partie
NEWGAME_START_CAMPAIGN   Commencé la partie

# Weapon menu
WEAPONS_STANDARD_UNIT    L'arme standare du personnage
WEAPONS_STANDARD_GAME    L'arme standare du jeu
WEAPONS_SAVE             Sauvgarder

# Network menu
NETWORK_DIRECT           Direct
NETWORK_LOCAL            Local
NETWORK_INTERNET         En ligne
NETWORK_HOSTNAME         Nom d'hôte
NETWORK_REFRESH_LIST     Actualiser la liste
NETWORK_JOIN_GAME        Rejoindre la partie
